Duplicate and hierarchy review

Multiple IDs, suites, campuses, and duplicate marketing entities do not auto-promote.

| Market | Property | Municipality | Risks | Legacy IDs |
| miami-doral-medley | nw corner of us1 and sw 136th st | Miami | MULTIPLE_LEGACY_IDS, CAMPUS_COMPLEX_AMBIGUITY | 62 |
| miami-doral-medley | 230 ne 97th st | Miami | MULTIPLE_LEGACY_IDS | 61 |
| miami-doral-medley | 14800 nw 24 ct | Miami | MULTIPLE_LEGACY_IDS | 59 |
| miami-doral-medley | 2906 douglas rd | Coral Gables | MULTIPLE_LEGACY_IDS | 58 |
| miami-doral-medley | sw 248th st and 119th ave | Miami | MULTIPLE_LEGACY_IDS | 56 |
| miami-doral-medley | 20446 20468 s dixie hwy | Miami | MULTIPLE_LEGACY_IDS | 54 |
| miami-doral-medley | 20464 20462 s dixie hwy | Miami | MULTIPLE_LEGACY_IDS | 54 |
| miami-doral-medley | 34th st 168th ave | Miami | MULTIPLE_LEGACY_IDS | 53 |
| miami-doral-medley | 499 nw 79 st | Miami | MULTIPLE_LEGACY_IDS | 53 |
| miami-doral-medley | 838 nw 79th st | Miami | MULTIPLE_LEGACY_IDS | 53 |
| miami-doral-medley | ne corner of nw 15th st 129th ave | Miami | MULTIPLE_LEGACY_IDS | 53 |
| miami-doral-medley | 12900 12950 w dixie hwy | Miami | MULTIPLE_LEGACY_IDS | 52 |
| miami-doral-medley | sw 169th ave theoretical sw 167th st | Miami | MULTIPLE_LEGACY_IDS | 52 |
| miami-doral-medley | sw 45th st 33185 | Miami | MULTIPLE_LEGACY_IDS | 48 |
| miami-doral-medley | 1125 ne 125 st | Miami | MULTIPLE_LEGACY_IDS | 47 |
| miami-doral-medley | 7200 nw 19th st | Miami | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 45 |
| miami-doral-medley | 14121 14267 sw 119th ave | Miami | MULTIPLE_LEGACY_IDS | 43 |
| miami-doral-medley | 9000 nw 15 st | Miami | MULTIPLE_LEGACY_IDS | 43 |
| miami-doral-medley | eureka dr sw 184th st | Miami | MULTIPLE_LEGACY_IDS | 41 |
| miami-doral-medley | 1025 e 45 st | Miami | MULTIPLE_LEGACY_IDS | 40 |
| miami-doral-medley | 2200 nw 2 ave | Miami | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 36 |
| miami-doral-medley | 6955 nw 52 st | Miami | MULTIPLE_LEGACY_IDS | 35 |
| miami-doral-medley | private address | Miami | MULTIPLE_LEGACY_IDS | 30 |
| miami-doral-medley | 8726 nw 26th st | Miami | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 28 |
| miami-doral-medley | 8150 nw 33rd st | Miami | MULTIPLE_LEGACY_IDS | 27 |
| miami-doral-medley | 9301 ne 6 ave | Miami | MULTIPLE_LEGACY_IDS | 27 |
| miami-doral-medley | 325 alhambra cir | Coral Gables | MULTIPLE_LEGACY_IDS | 26 |
| miami-doral-medley | 175 sw 7th st | Miami | MULTIPLE_LEGACY_IDS, SUITE_BUILDING_AMBIGUITY | 26 |
