city,state_abbr,state,county,metro,lat,lng,building_count,city_description,updated_at,gsc_clicks,gsc_impressions,source_url
Frankfort,KY,Kentucky,,,,,,,,68,3247,https://m.rofo.com/KY/Frankfort
Luling,LA,Louisiana,,,,,,,,68,1847,https://m.rofo.com/LA/Luling
La Pine,OR,Oregon,,,,,,,,68,1002,https://m.rofo.com/OR/La-Pine
Batesville,MS,Mississippi,,,,,,,,68,838,https://m.rofo.com/MS/Batesville
Post Falls,ID,Idaho,,,,,,,,67,3342,https://m.rofo.com/ID/Post-Falls
Bangor,ME,Maine,,,,,,,,67,2909,https://m.rofo.com/ME/Bangor
Crestview,FL,Florida,,,,,,,,67,2181,https://m.rofo.com/FL/Crestview
Gillette,WY,Wyoming,,,,,,,,67,1437,https://m.rofo.com/WY/Gillette
Pelham,NH,New Hampshire,,,,,,,,67,889,https://m.rofo.com/NH/Pelham
Crowley,LA,Louisiana,,,,,,,,67,856,https://m.rofo.com/LA/Crowley
Liverpool,NY,New York,,,,,,,,66,3137,https://m.rofo.com/NY/Liverpool
Aurora,MO,Missouri,,,,,,,,66,2340,https://m.rofo.com/MO/Aurora
Hampstead,NC,North Carolina,,,,,,,,66,2027,https://m.rofo.com/NC/Hampstead
Angola,IN,Indiana,,,,,,,,66,1689,https://m.rofo.com/IN/Angola
Thomasville,NC,North Carolina,,,,,,,,65,1815,https://m.rofo.com/NC/Thomasville
Bridgton,ME,Maine,,,,,,,,65,686,https://m.rofo.com/ME/Bridgton
Greenville,NC,North Carolina,,,,,,,,64,4701,https://m.rofo.com/NC/Greenville
Spring Hill,FL,Florida,,,,,,,,64,3639,https://m.rofo.com/FL/Spring-Hill
East Greenwich,RI,Rhode Island,,,,,,,,64,2966,https://m.rofo.com/RI/East-Greenwich
Salisbury,MD,Maryland,,,,,,,,64,2460,https://m.rofo.com/MD/Salisbury
Saraland,AL,Alabama,,,,,,,,64,1766,https://m.rofo.com/AL/Saraland
Barnesville,GA,Georgia,,,,,,,,64,1691,https://m.rofo.com/GA/Barnesville
Parrish,FL,Florida,,,,,,,,64,1627,https://m.rofo.com/FL/Parrish
Allegan,MI,Michigan,,,,,,,,64,1216,https://m.rofo.com/MI/Allegan
Westerly,RI,Rhode Island,,,,,,,,63,2632,https://m.rofo.com/RI/Westerly
Brownwood,TX,Texas,,,,,,,,63,1171,https://m.rofo.com/TX/Brownwood
Hartwell,GA,Georgia,,,,,,,,63,1050,https://m.rofo.com/GA/Hartwell
Buffalo,MO,Missouri,,,,,,,,62,1205,https://m.rofo.com/MO/Buffalo
Jamestown,RI,Rhode Island,,,,,,,,62,697,https://m.rofo.com/RI/Jamestown
Ellisville,MS,Mississippi,,,,,,,,62,694,https://m.rofo.com/MS/Ellisville
Picayune,MS,Mississippi,,,,,,,,61,1688,https://m.rofo.com/MS/Picayune
Winterville,NC,North Carolina,,,,,,,,61,939,https://m.rofo.com/NC/Winterville
Maurice,LA,Louisiana,,,,,,,,61,651,https://m.rofo.com/LA/Maurice
El Dorado Hills,CA,California,,,,,,,,60,6003,https://m.rofo.com/CA/El-Dorado-Hills
Greenville,MI,Michigan,,,,,,,,60,2654,https://m.rofo.com/MI/Greenville
Peterborough,NH,New Hampshire,,,,,,,,60,1888,https://m.rofo.com/NH/Peterborough
Bedford,IN,Indiana,,,,,,,,60,1865,https://m.rofo.com/IN/Bedford
Palm Desert,CA,California,,,,,,,,59,6820,https://m.rofo.com/CA/Palm-Desert
Punta Gorda,FL,Florida,,,,,,,,59,5715,https://m.rofo.com/FL/Punta-Gorda
Century,FL,Florida,,,,,,,,59,2442,https://m.rofo.com/FL/Century
Lapeer,MI,Michigan,,,,,,,,59,2145,https://m.rofo.com/MI/Lapeer
Selinsgrove,PA,Pennsylvania,,,,,,,,59,1237,https://m.rofo.com/PA/Selinsgrove
Poplarville,MS,Mississippi,,,,,,,,59,1130,https://m.rofo.com/MS/Poplarville
Brookhaven,MS,Mississippi,,,,,,,,59,991,https://m.rofo.com/MS/Brookhaven
Coeur D Alene,ID,Idaho,,,,,,,,58,4745,https://m.rofo.com/ID/Coeur-D-Alene
Augusta,ME,Maine,,,,,,,,58,3998,https://m.rofo.com/ME/Augusta
Pahrump,NV,Nevada,,,,,,,,58,2360,https://m.rofo.com/NV/Pahrump
Pooler,GA,Georgia,,,,,,,,58,2157,https://m.rofo.com/GA/Pooler
Coldwater,MI,Michigan,,,,,,,,58,1064,https://m.rofo.com/MI/Coldwater
Crockett,TX,Texas,,,,,,,,58,598,https://m.rofo.com/TX/Crockett
Daphne,AL,Alabama,,,,,,,,57,4908,https://m.rofo.com/AL/Daphne
Hammond,IN,Indiana,,,,,,,,57,4744,https://m.rofo.com/IN/Hammond
Land O Lakes,FL,Florida,,,,,,,,57,2417,https://m.rofo.com/FL/Land-O-Lakes
Lowell,MI,Michigan,,,,,,,,57,2256,https://m.rofo.com/MI/Lowell
Crestwood,KY,Kentucky,,,,,,,,57,2070,https://m.rofo.com/KY/Crestwood
North Vernon,IN,Indiana,,,,,,,,57,1569,https://m.rofo.com/IN/North-Vernon
Broussard,LA,Louisiana,,,,,,,,57,835,https://m.rofo.com/LA/Broussard
Moriarty,NM,New Mexico,,,,,,,,57,715,https://m.rofo.com/NM/Moriarty
Cortez,CO,Colorado,,,,,,,,57,620,https://m.rofo.com/CO/Cortez
Hudson,NH,New Hampshire,,,,,,,,56,4765,https://m.rofo.com/NH/Hudson
Auburn,ME,Maine,,,,,,,,56,4631,https://m.rofo.com/ME/Auburn
Rossville,GA,Georgia,,,,,,,,56,1385,https://m.rofo.com/GA/Rossville
Raymond,NH,New Hampshire,,,,,,,,56,1185,https://m.rofo.com/NH/Raymond
Quincy,CA,California,,,,,,,,56,890,https://m.rofo.com/CA/Quincy
Barrington,RI,Rhode Island,,,,,,,,56,832,https://m.rofo.com/RI/Barrington
Huron,SD,South Dakota,,,,,,,,56,670,https://m.rofo.com/SD/Huron
Houlton,ME,Maine,,,,,,,,56,437,https://m.rofo.com/ME/Houlton
Antioch,CA,California,,,,,,,,55,14440,https://m.rofo.com/CA/Antioch
Ormond Beach,FL,Florida,,,,,,,,55,3200,https://m.rofo.com/FL/Ormond-Beach
Harrison,AR,Arkansas,,,,,,,,55,2575,https://m.rofo.com/AR/Harrison
Oak Ridge,TN,Tennessee,,,,,,,,55,2357,https://m.rofo.com/TN/Oak-Ridge
Milan,MI,Michigan,,,,,,,,55,2124,https://m.rofo.com/MI/Milan
Warren,RI,Rhode Island,,,,,,,,55,1552,https://m.rofo.com/RI/Warren
Hampstead,NH,New Hampshire,,,,,,,,55,1256,https://m.rofo.com/NH/Hampstead
Woodland Park,CO,Colorado,,,,,,,,55,1214,https://m.rofo.com/CO/Woodland-Park
Stephens City,VA,Virginia,,,,,,,,55,1189,https://m.rofo.com/VA/Stephens-City
Weare,NH,New Hampshire,,,,,,,,55,505,https://m.rofo.com/NH/Weare
Janesville,WI,Wisconsin,,,,,,,,54,4689,https://m.rofo.com/WI/Janesville
Rohnert Park,CA,California,,,,,,,,54,3846,https://m.rofo.com/CA/Rohnert-Park
Inverness,FL,Florida,,,,,,,,54,1399,https://m.rofo.com/FL/Inverness
Big Rapids,MI,Michigan,,,,,,,,54,1029,https://m.rofo.com/MI/Big-Rapids
Beeville,TX,Texas,,,,,,,,54,896,https://m.rofo.com/TX/Beeville
Minden,LA,Louisiana,,,,,,,,54,870,https://m.rofo.com/LA/Minden
Abita Springs,LA,Louisiana,,,,,,,,54,851,https://m.rofo.com/LA/Abita-Springs
Camdenton,MO,Missouri,,,,,,,,54,836,https://m.rofo.com/MO/Camdenton
Boonville,IN,Indiana,,,,,,,,54,768,https://m.rofo.com/IN/Boonville
Monument,CO,Colorado,,,,,,,,53,3375,https://m.rofo.com/CO/Monument
Ooltewah,TN,Tennessee,,,,,,,,53,3023,https://m.rofo.com/TN/Ooltewah
Bluffton,IN,Indiana,,,,,,,,53,3014,https://m.rofo.com/IN/Bluffton
Lewes,DE,Delaware,,,,,,,,53,2304,https://m.rofo.com/DE/Lewes
Dallas,GA,Georgia,,,,,,,,53,1802,https://m.rofo.com/GA/Dallas
Diberville,MS,Mississippi,,,,,,,,53,1469,https://m.rofo.com/MS/Diberville
Lake Geneva,WI,Wisconsin,,,,,,,,53,1105,https://m.rofo.com/WI/Lake-Geneva
Mount Shasta,CA,California,,,,,,,,53,1032,https://m.rofo.com/CA/Mount-Shasta
North Providence,RI,Rhode Island,,,,,,,,52,6657,https://m.rofo.com/RI/North-Providence
Largo,FL,Florida,,,,,,,,52,5969,https://m.rofo.com/FL/Largo
Battle Creek,MI,Michigan,,,,,,,,52,3115,https://m.rofo.com/MI/Battle-Creek
Hernando,MS,Mississippi,,,,,,,,52,2581,https://m.rofo.com/MS/Hernando
Ponchatoula,LA,Louisiana,,,,,,,,52,1488,https://m.rofo.com/LA/Ponchatoula
Hamtramck,MI,Michigan,,,,,,,,52,1297,https://m.rofo.com/MI/Hamtramck
Zachary,LA,Louisiana,,,,,,,,52,1251,https://m.rofo.com/LA/Zachary
Rockland,ME,Maine,,,,,,,,52,906,https://m.rofo.com/ME/Rockland
Gray,ME,Maine,,,,,,,,52,884,https://m.rofo.com/ME/Gray
Calais,ME,Maine,,,,,,,,52,337,https://m.rofo.com/ME/Calais
Clermont,FL,Florida,,,,,,,,51,2624,https://m.rofo.com/FL/Clermont
Skowhegan,ME,Maine,,,,,,,,51,547,https://m.rofo.com/ME/Skowhegan
Truth Or Consequences,NM,New Mexico,,,,,,,,51,524,https://m.rofo.com/NM/Truth-or-Consequences
Lodi,CA,California,,,,,,,,50,3125,https://m.rofo.com/CA/Lodi
Gulf Breeze,FL,Florida,,,,,,,,50,2617,https://m.rofo.com/FL/Gulf-Breeze
Calhoun,GA,Georgia,,,,,,,,50,1699,https://m.rofo.com/GA/Calhoun
Powell,TN,Tennessee,,,,,,,,50,1527,https://m.rofo.com/TN/Powell
Clemmons,NC,North Carolina,,,,,,,,50,1422,https://m.rofo.com/NC/Clemmons
Tahlequah,OK,Oklahoma,,,,,,,,50,1282,https://m.rofo.com/OK/Tahlequah
Port Huron,MI,Michigan,,,,,,,,50,1238,https://m.rofo.com/MI/Port-Huron
Epping,NH,New Hampshire,,,,,,,,50,1116,https://m.rofo.com/NH/Epping
Walker,LA,Louisiana,,,,,,,,50,880,https://m.rofo.com/LA/Walker
Old Orchard Beach,ME,Maine,,,,,,,,50,868,https://m.rofo.com/ME/Old-Orchard-Beach
Cambridge,MD,Maryland,,,,,,,,49,4084,https://m.rofo.com/MD/Cambridge
Newton,KS,Kansas,,,,,,,,49,3580,https://m.rofo.com/KS/Newton
Hayward,WI,Wisconsin,,,,,,,,49,2094,https://m.rofo.com/WI/Hayward
Kingsburg,CA,California,,,,,,,,49,697,https://m.rofo.com/CA/Kingsburg
Vista,CA,California,,,,,,,,48,7736,https://m.rofo.com/CA/Vista
Plant City,FL,Florida,,,,,,,,48,3449,https://m.rofo.com/FL/Plant-City
Meridian,MS,Mississippi,,,,,,,,48,1989,https://m.rofo.com/MS/Meridian
Hailey,ID,Idaho,,,,,,,,48,1187,https://m.rofo.com/ID/Hailey
Plaquemine,LA,Louisiana,,,,,,,,48,997,https://m.rofo.com/LA/Plaquemine
Silverton,OR,Oregon,,,,,,,,48,963,https://m.rofo.com/OR/Silverton
Mahomet,IL,Illinois,,,,,,,,48,775,https://m.rofo.com/IL/Mahomet
High Point,NC,North Carolina,,,,,,,,47,7511,https://m.rofo.com/NC/High-Point
Newburyport,MA,Massachusetts,,,,,,,,47,2157,https://m.rofo.com/MA/Newburyport
Trenton,GA,Georgia,,,,,,,,47,1642,https://m.rofo.com/GA/Trenton
