# Duplicate, suite, and campus review

Suite observations and ambiguous campuses are never auto-promoted as buildings.

| Market | Property | Municipality | Conflicts | Legacy IDs |
| san-francisco | 1196 pacific ave | San Francisco | MULTIPLE_LEGACY_IDS | 1905024, 1931215, 1956436 |
| san-francisco | 1198 pacific ave | San Francisco | MULTIPLE_LEGACY_IDS | 1833147, 1867346 |
| san-francisco | 1199 de haro st | San Francisco | MULTIPLE_LEGACY_IDS | 243796, 265149 |
| san-francisco | 12 nottingham pl | San Francisco | MULTIPLE_LEGACY_IDS | 40545, 205291 |
| san-francisco | 120 2nd st | San Francisco | MULTIPLE_LEGACY_IDS | 40583, 382370 |
| san-francisco | 120 broadway | San Francisco | MULTIPLE_LEGACY_IDS | 915005, 925680 |
| san-francisco | 120 howard st | San Francisco | MULTIPLE_LEGACY_IDS | 40562, 128063 |
| san-francisco | 120 montgomery st | San Francisco | MULTIPLE_LEGACY_IDS | 40567, 128504 |
| san-francisco | 1200 van ness ave | San Francisco | MULTIPLE_LEGACY_IDS | 40616, 162099 |
| san-francisco | 121 2nd st | San Francisco | MULTIPLE_LEGACY_IDS | 40727, 111006 |
| san-francisco | 121 capp st | San Francisco | MULTIPLE_LEGACY_IDS | 40715, 1719017 |
| san-francisco | 121 spear st | San Francisco | MULTIPLE_LEGACY_IDS | 40719, 153099, 351751 |
| san-francisco | 1214 sutter st | San Francisco | MULTIPLE_LEGACY_IDS | 40752, 1720762 |
| san-francisco | 1222 sutter st | San Francisco | MULTIPLE_LEGACY_IDS | 40845, 350624 |
| san-francisco | 123 10th st | San Francisco | MULTIPLE_LEGACY_IDS | 40932, 146742 |
| san-francisco | 1233 van ness ave | San Francisco | MULTIPLE_LEGACY_IDS | 40976, 158473 |
| san-francisco | 1236 carroll ave | San Francisco | MULTIPLE_LEGACY_IDS | 1388826, 1428094 |
| san-francisco | 125 bayshore blvd | San Francisco | MULTIPLE_LEGACY_IDS | 351852, 364445, 378292, 380550, 384384, 401851, 421788 |
| sacramento | 10009 10025 folsom blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1126614, 1154961, 1157940, 1189760, 1255080, 1490821, 1308001, 1369304, 1407465, 1447949, 1691500, 1534932, 1569801, 1618179 |
| sacramento | 10235 systems pkwy | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 111284, 628156 |
| sacramento | 10293 rockingham dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 136376, 635943 |
| sacramento | 10301 10395 folsom blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1772031, 1773111, 1791935, 1791945, 1823275, 1833677, 1856617, 1880968, 1918766, 1932190, 1957107, 1979431, 1993230, 2007753, 2021668, 2057383, 2066583, 2069556, 2075509, 2085116, 2088102, 2094219, 2097589, 2130376, 2133449, 2139370, 2142714, 2148522, 2157415, 1812533, 1844833, 1868696, 1893426, 1905943, 2036206, 2121848, 2047711, 2051052, 2054522, 2060301, 2063256, 2072514, 2078454, 2081774, 2103974, 2091125, 2100723, 2112096, 2127430, 2136479, 2145585, 2151374, 2154466, 2159998, 1945616 |
| sacramento | 10525 folsom blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 2121503, 114459 |
| sacramento | 10545 armstrong ave | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 137611, 145367 |
| sacramento | 10690 white rock rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1917494, 1969665, 2056991 |
| sacramento | 10701 folsom blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1737280, 1759542, 1761755, 1764194, 1766630 |
| sacramento | 10751 folsom blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 163346, 114470 |
| sacramento | 10940 white rock rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 2121237, 288331 |
| sacramento | 10947 11051 olson dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1544469, 1553354, 1562050, 1570434, 1579070, 1588341, 1597698, 1608106, 1618873, 1628460, 1638704, 1648883, 1659407, 1670313, 1681045, 1703205, 1692301, 1714308, 1721953, 1727367, 1738181, 1750145, 1428224, 1514631, 1606981, 1969782, 1637959, 1691158, 1389354, 1469542, 1543865, 1617629, 1748689 |
| sacramento | 10998 n mather blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1514201, 1543658 |
| sacramento | 11025 trade center dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 302520, 2081451 |
| sacramento | 11031 sun center dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 158784, 2047394 |
| sacramento | 11050 olson dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 513216, 127831, 557776 |
| sacramento | 11070 11082 coloma rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1535795, 1544531, 1553422, 1562121, 1588415, 1597775, 1628541, 1648960, 1670398, 1681132, 1703288, 1714330, 1738261, 1750225, 1428225, 1514632, 1570502, 1579139, 1606982, 1608187, 1637960, 1618953, 1691159, 1638781, 1659486, 1692381, 1721975, 1727447, 1969783, 1389355, 1469543, 1543866, 1617630, 1748690, 1822507, 1892197 |
| sacramento | 11076 coloma rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1157415, 1159877 |
| sacramento | 11092 coloma rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 163342, 114492 |
| sacramento | 11185 white rock rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1387931, 1427108 |
| sacramento | 11225 trade center dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 114841, 580202, 607945 |
| sacramento | 11241 coloma rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 127218, 494916 |
| sacramento | 11249 gold country blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 288337, 1691502 |
| sacramento | 11251 coloma rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 127219, 494917, 1690905 |
| sacramento | 11257 coloma rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 158782, 233414 |
| sacramento | 11281 pyrites way | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 146504, 128672 |
| sacramento | 11290 sunrise gold cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 129846, 233569 |
| sacramento | 11291 pyrites way | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 128674, 129843 |
| sacramento | 11327 folsom blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 2056992, 1790986, 1917498, 1969668 |
| sacramento | 11330 sunco dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 164907, 379920 |
| sacramento | 11335 gold express dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 129542, 1569804 |
| sacramento | 11336 sunco dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 164908, 379921 |
| sacramento | 11353 pyrites way | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 146460, 233538 |
| sacramento | 11355 pyrites way | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 146461, 233539 |
| sacramento | 11357 pyrites way | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 146512, 623379, 233540, 288341, 302522, 461715 |
| sacramento | 11363 gold country blvd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 382429, 379698, 386537 |
| sacramento | 11375 sunrise park dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 158928, 644993 |
| sacramento | 11379 pyrites way | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 158789, 2081467 |
| sacramento | 11395 pyrites way | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 129844, 233542 |
| sacramento | 11415 sunrise gold cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 136345, 233571 |
| sacramento | 11419 sunrise gold cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 233572, 445612 |
| sacramento | 11423 sunrise gold cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 233573, 275459 |
| sacramento | 11430 sunrise gold cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 164909, 443454 |
| sacramento | 11440 sunrise gold cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 164910, 164911 |
| sacramento | 11470 sunrise gold cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 129697, 233574 |
| sacramento | 11481 sunrise gold cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 444917, 1748691, 1822508, 446334, 1727580, 1738394, 1750358 |
| sacramento | 11492 sunrise gold cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 204893, 327437 |
| sacramento | 11500 sunrise gold cir | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 127835, 204894 |
| sacramento | 11931 foundation pl | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 280116, 478027 |
| sacramento | 12009 foundation pl | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1658616, 1690909 |
| sacramento | 12150 tributary point dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 135997, 1691507 |
| sacramento | 1941 zinfandel dr | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 114487, 580903 |
| sacramento | 20 006 aerojet rd | Rancho Cordova | MUNICIPALITY_CONFLICT, MULTIPLE_LEGACY_IDS | 1762939, 1790993, 1917502, 1969675 |
