Municipality conflicts — ranked review queue

Every listed record remains blocked from target-city geography promotion. Classification covers all 2442 conflicts; this concise queue shows up to 50 per pilot.

| Market | Property | Municipality | Classification | Promotion blocked | Legacy IDs |
| denver-aurora | 4970 monaco st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1617111, 1721009 |
| denver-aurora | 4975 pontiac st commerce city | Commerce City | MARKET_LABEL_TOO_BROAD | true | 237084 |
| denver-aurora | 5311 niagara st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1697701, 1708765 |
| denver-aurora | 5455 e 52nd ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 352261 |
| denver-aurora | 5460 colorado blvd | Commerce City | MARKET_LABEL_TOO_BROAD | true | 461956 |
| denver-aurora | 5560 magnolia st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1216846, 1232588 |
| denver-aurora | 5597 monaco st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 381569 |
| denver-aurora | 5598 monaco st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 610544 |
| denver-aurora | 5640 e 77th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 921601, 1135987, 1149670, 931357 |
| denver-aurora | 5851 e 56th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1126932, 1154954 |
| denver-aurora | 5870 dahlia st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1401144, 1420679, 1527827 |
| denver-aurora | 5875 poplar st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 274669 |
| denver-aurora | 5985 quebec st | Commerce City | MARKET_LABEL_TOO_BROAD | true | 533626, 555712 |
| denver-aurora | 6000 e 49th dr | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1426948, 1449953 |
| denver-aurora | 6019 e 50th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 1913742, 1926760, 1940442, 1965577, 1988205, 2002161, 2016802, 2030761, 2043641, 1954038 |
| denver-aurora | 6050 e 58th ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 533709, 1733082, 1743853, 1755862, 555793, 616348 |
| denver-aurora | 6071 e 72nd ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 365383 |
| denver-aurora | 6080 e 72nd ave | Commerce City | MARKET_LABEL_TOO_BROAD | true | 364128 |
| orlando | 0 ascot ct | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 650083 |
| orlando | 0 bay leaf dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 1535236, 1543950, 1552827, 1561516, 1569929, 1578537, 1587766, 1597104, 1607491, 1618262, 1627844, 1638075, 1648233, 1658747, 1669631, 1680361, 1691635, 1702517, 1713987, 1721632, 1726702, 1737516, 1749480, 1833213, 1844352, 1856127, 1868199, 1880449, 1892893, 1905402, 1918209, 1931638, 1945054, 1956542, 1978848, 1992646, 2007166, 2021079, 2035702, 2047479, 2050816, 2054290, 2057156, 2060071, 2063009, 2066342, 2069320, 2072276, 2075272, 2078209, 2081521, 2084868, 2087851, 2090874, 2093967, 2097345, 2100481, 2103741, 2111847, 2121561, 2127216, 2130170, 2133242, 2136271, 2139166, 2142512, 2145384, 2148321, 2151173, 2154266, 2157216, 2159802 |
| orlando | 0 bayberry st | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 1535237, 1543951, 1552828, 1561517, 1569930, 1578538, 1587767, 1597105, 1607492, 1618263, 1627845, 1638076, 1648234, 1658748, 1669632, 1680362, 1691636, 1702518, 1713988, 1721633, 1726703, 1737517, 1749481 |
| orlando | 0 e lakeshore blvd | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 651003 |
| orlando | 0 flamboyan st | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 651150 |
| orlando | 0 hastings dr | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 651383 |
| orlando | 0 jim edwards rd | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 1535278, 1543994, 1552874, 1561562, 1569976, 1578584, 1587815, 1597152, 1607539, 1618308, 1627889, 1638120, 1648279, 1658792, 1669676, 1680406, 1691682, 1702566, 1714033, 1721678, 1726751, 1737565, 1749529, 1833251, 1844390, 1856166, 1868240, 1880491, 1892936, 1905444, 1918254, 1931681, 1945097, 1956586, 1978891, 1992690, 2007209, 2021121, 2035742, 2047519, 2050856, 2054330, 2057196, 2060113, 2063051, 2066385, 2069362, 2072317, 2075313, 2078251, 2081563, 2084911, 2087893, 2090917, 2094008, 2097385, 2100522, 2103781, 2111888, 2121595, 2127249, 2130203, 2133275, 2136303, 2139198, 2142544, 2145416, 2148353, 2151205, 2154298, 2157248, 2159833 |
| orlando | 0 laurel ave | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 352904 |
| orlando | 0 pacific rd | Kissimmee | MARKET_LABEL_TOO_BROAD | true | 1535295, 1544013, 1552893, 1561580, 1569994, 1578603, 1587834, 1597174, 1607561 |
