Media-rights review

Property credibility and media rights are independent. No historical imagery is reusable by default.

| Market | Geography | Representative | Status | Media |
| east-bay | oak-downtown-oakland | 1814 Franklin St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-downtown-oakland | 300 Frank H Ogawa Plz | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-downtown-oakland | 505 14th St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-downtown-oakland | 610 16th St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-jack-london-square | 66 Franklin St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-old-oakland | 1111 Broadway | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-old-oakland | 1221 Broadway | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-uptown | 1 Kaiser Plz | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-uptown | 1901 Harrison St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-uptown | 1970 Broadway | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-uptown | 2100 Franklin St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-uptown | 2101 Webster St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-uptown | 2111 Franklin St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-uptown | 2201 Broadway | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-uptown | 2335 Broadway | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-uptown | 415 20th St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-west-oakland | 1410 7th St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| east-bay | oak-west-oakland | 1440 7th St | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
