city,state_abbr,county,lat,lng,population,zips,building_count,tier,slug,label,city_state_slug,path,source,officefinder_code,incorporated,cdp,ranking,simplemaps_matched,is_new_candidate
Allentown,PA,Lehigh County,40.5961,-75.4756,644758,18104 18101 18103 18102 18109 18001 18105,1,3,allentown,"Allentown, PA",allentown-pa,/commercial-real-estate/PA/allentown/,rofo,,,,,true,
Bala Cynwyd,PA,Montgomery County,40.0116,-75.2283,10227,19004,1,3,bala-cynwyd,"Bala Cynwyd, PA",bala-cynwyd-pa,/commercial-real-estate/PA/bala-cynwyd/,rofo,,,,,true,
Beaver,PA,Beaver County,40.6936,-80.3074,4374,15009,0,3,beaver,"Beaver, PA",beaver-pa,/commercial-real-estate/PA/beaver/,officefinder+simplemaps,2505,TRUE,FALSE,3,true,true
Berwyn,PA,Chester County,40.0396,-75.4439,3680,19333 19301 19312 19398,1,3,berwyn,"Berwyn, PA",berwyn-pa,/commercial-real-estate/PA/berwyn/,rofo,,,,,true,
Blue Bell,PA,Montgomery County,40.1474,-75.2687,6424,19422 19424,1,3,blue-bell,"Blue Bell, PA",blue-bell-pa,/commercial-real-estate/PA/blue-bell/,rofo,,,,,true,
Canonsburg,PA,Washington County,40.2643,-80.1867,9675,15317,1,3,canonsburg,"Canonsburg, PA",canonsburg-pa,/commercial-real-estate/PA/canonsburg/,rofo,,,,,true,
Carnegie,PA,Allegheny County,40.408,-80.0861,7978,15106,0,3,carnegie,"Carnegie, PA",carnegie-pa,/commercial-real-estate/PA/carnegie/,officefinder+simplemaps,2506,TRUE,FALSE,3,true,true
Center Valley,PA,Lehigh County,40.5293,-75.3932,,18034,1,3,center-valley,"Center Valley, PA",center-valley-pa,/commercial-real-estate/PA/center-valley/,rofo,,,,,true,
Chadds Ford,PA,Delaware County,39.8658,-75.5698,3966,19317,1,3,chadds-ford,"Chadds Ford, PA",chadds-ford-pa,/commercial-real-estate/PA/chadds-ford/,rofo,,,,,true,
Chester,PA,Delaware County,39.8456,-75.3718,33619,19013 19016,0,3,chester,"Chester, PA",chester-pa,/commercial-real-estate/PA/chester/,officefinder+simplemaps,1103,TRUE,FALSE,2,true,true
Conshohocken,PA,Montgomery County,40.0772,-75.3034,9282,19428 19429,1,3,conshohocken,"Conshohocken, PA",conshohocken-pa,/commercial-real-estate/PA/conshohocken/,rofo,,,,,true,
Cranberry,PA,Butler County,40.7104,-80.1059,34094,15086 16066,0,3,cranberry,"Cranberry, PA",cranberry-pa,/commercial-real-estate/PA/cranberry/,officefinder+simplemaps,2022,FALSE,FALSE,3,true,true
Cranberry Twp,PA,,,,,,1,3,cranberry-twp,"Cranberry Twp, PA",cranberry-twp-pa,/commercial-real-estate/PA/cranberry-twp/,rofo,,,,,false,
Doylestown,PA,Bucks County,40.2962,-75.1393,18008,18901,1,3,doylestown,"Doylestown, PA",doylestown-pa,/commercial-real-estate/PA/doylestown/,rofo,,,,,true,
Emmaus,PA,Lehigh County,40.5352,-75.4978,11889,18049 18098 18099,0,3,emmaus,"Emmaus, PA",emmaus-pa,/commercial-real-estate/PA/emmaus/,officefinder+simplemaps,2499,TRUE,FALSE,3,true,true
Export,PA,Westmoreland County,40.417,-79.6232,857,15632,0,3,export,"Export, PA",export-pa,/commercial-real-estate/PA/export/,officefinder+simplemaps,2614,TRUE,FALSE,3,true,true
Exton,PA,Chester County,40.0307,-75.6303,6772,19341 19353,1,3,exton,"Exton, PA",exton-pa,/commercial-real-estate/PA/exton/,rofo,,,,,true,
Folcroft,PA,Delaware County,39.8891,-75.277,6772,19032,0,3,folcroft,"Folcroft, PA",folcroft-pa,/commercial-real-estate/PA/folcroft/,officefinder+simplemaps,2587,TRUE,FALSE,2,true,true
Fort Washington,PA,Montgomery County,40.1408,-75.1926,6271,19034,1,3,fort-washington,"Fort Washington, PA",fort-washington-pa,/commercial-real-estate/PA/fort-washington/,rofo,,,,,true,
Green Tree,PA,Allegheny County,40.417,-80.0544,4833,15205 15220 15242 15244 15283,0,3,green-tree,"Green Tree, PA",green-tree-pa,/commercial-real-estate/PA/green-tree/,officefinder+simplemaps,2268,TRUE,FALSE,3,true,true
Greensburg,PA,Westmoreland County,40.3113,-79.5445,14741,15601 15606,0,3,greensburg,"Greensburg, PA",greensburg-pa,/commercial-real-estate/PA/greensburg/,officefinder+simplemaps,2615,TRUE,FALSE,3,true,true
Harrisburg,PA,Dauphin County,40.2752,-76.8843,510827,17101 17102 17103 17104 17120 17110 17105 17108 17121 17122 17123 17124 17125 17126 17127 17128 17129 17130,1,3,harrisburg,"Harrisburg, PA",harrisburg-pa,/commercial-real-estate/PA/harrisburg/,rofo,,,,,true,
