state_abbr,market_name,slug,code
LA,Harahan,harahan,1979
LA,Saint Rose,saint-rose,1982
MA,Acton,acton,1367
MA,Agawam,agawam,1368
MA,Arlington,arlington,1370
MA,Ashland,ashland,1371
MA,Auburn,auburn,1372
MA,Avon,avon,1373
MA,Bedford,bedford,1374
MA,Bellingham,bellingham,1375
MA,Beverly,beverly,1376
MA,Billerica,billerica,1377
MA,Braintree,braintree,2107
MA,Brighton,brighton,1859
MA,Dover,dover,2078
MA,Fall River,fall-river,1592
MA,Franklin,franklin,2464
MA,Hanover,hanover,2590
MA,Holliston,holliston,2076
MA,Hudson,hudson,2460
MA,Jamaica Plain,jamaica-plain,2477
MA,Lowell,lowell,2323
MA,Mansfield,mansfield,2108
MA,Natick,natick,442
MA,North Andover,north-andover,2613
MA,Randolph,randolph,2458
MA,Rockland,rockland,2462
MA,Roxbury,roxbury,2461
MA,Salem,salem,2463
MA,Sherborn,sherborn,2075
MA,Southborough,southborough,2072
MA,Sudbury,sudbury,2077
MA,Wayland,wayland,2074
MA,Wellesley,wellesley,2070
MA,Westborough,westborough,2071
MA,Weston,weston,2073
MD,Annapolis Junction,annapolis-junction,756
MD,Belair,belair,412
MD,Beltsville,beltsville,1418
MD,Calverton,calverton,1419
MD,Cheverly,cheverly,1428
MD,Clinton,clinton,1429
MD,Cockeysville,cockeysville,2269
MD,College Park,college-park,1420
MD,Forestville,forestville,1430
MD,Greenbelt,greenbelt,1421
MD,Hanover,hanover,757
MD,Harford,harford,2203
MD,Hyattsville,hyattsville,1422
MD,Kensington,kensington,1423
MD,Landover,landover,1431
MD,Lanham,lanham,1432
MD,Largo,largo,1433
MD,Linthicum,linthicum,131
MD,North Bethesda,north-bethesda,1424
MD,Owings Mills,owings-mills,759
MD,Reistertown,reistertown,2204
MD,Riverdale,riverdale,1425
MD,Temple Hills,temple-hills,1434
MD,Timonium,timonium,413
MD,Upper Marlboro,upper-marlboro,1427
MD,Wheaton,wheaton,1426
MI,Bellaire,bellaire,2437
MI,Brownstown Township,brownstown-township,2617
MI,Farmington Hills,farmington-hills,1089
MI,Garfield Twp,garfield-twp,2436
MI,Gross Pointe,gross-pointe,1084
MI,Haslett,haslett,1985
MI,Kalkaska,kalkaska,2438
MI,Kentwood,kentwood,2048
MI,Lathrup Village,lathrup-village,2554
MI,Manistee,manistee,2572
MI,Okemos,okemos,1987
MI,Rochester Hills,rochester-hills,1080
MI,Southeast Michigan,southeast-michigan,364
MI,Southwest Michigan,southwest-michigan,244
MN,Apple Valley,apple-valley,1479
MN,Arden Hills,arden-hills,1480
MN,Blaine,blaine,1481
MN,Bloomington,bloomington,315
MN,Brooklyn Center,brooklyn-center,1483
MN,Brooklyn Park,brooklyn-park,1482
MN,Champlin,champlin,1485
MN,Chaska,chaska,1486
MN,Coon Rapids,coon-rapids,1487
MN,Cottage Grove,cottage-grove,1488
MN,Crystal,crystal,1489
MN,Eagan,eagan,1490
MN,Edina,edina,1492
MN,Farmington,farmington,1494
MN,Fridley,fridley,1495
MN,Golden Valley,golden-valley,1496
MN,Hastings,hastings,1497
MN,Hudson,hudson,1498
MN,Little Canada,little-canada,1504
MN,Maple Grove,maple-grove,1503
MN,Maplewood,maplewood,1502
MN,Mendota Heights,mendota-heights,1501
MN,Minneapolis CBD,minneapolis-cbd,536
MN,Plymouth,plymouth,2273
MN,St Cloud,st-cloud,2349
MN,St Louis Park,st-louis-park,2267
MN,St. Paul,st-paul,537
MO,Arnold,arnold,1746
MO,Ballwin,ballwin,1735
MO,Blue Springs,blue-springs,1803
MO,Brentwood,brentwood,1674
MO,Bridgeton,bridgeton,2531
MO,Clayton,clayton,1675
MO,Collinsville,collinsville,2532
MO,Creve Coeur,creve-coeur,1676
MO,Gladstone,gladstone,1804
MO,Glen Carbon,glen-carbon,2537
MO,Hazelwood,hazelwood,2535
MO,Independence,independence,1805
MO,Kirkwood,kirkwood,1678
MO,Lee's Summit,lee-s-summit,969
MO,Liberty,liberty,1807
MO,O'Fallon,o-fallon,1742
MO,Olivette,olivette,1679
MO,Richmond Heights,richmond-heights,1681
MO,St Louis,st-louis,248
MO,St. Charles,st-charles,1741
MO,Troy,troy,2536
MO,Webster Groves,webster-groves,2618
MO,Westport,westport,1736
MS,Hinds,hinds,736
NC,Apex,apex,1692
NC,Ballantyne,ballantyne,2675
NC,Fuquay Varina,fuquay-varina,2602
NC,Garner,garner,1697
NC,Gastonia,gastonia,1590
NC,Huntersville,huntersville,573
NC,Knightdale,knightdale,1693
NC,Matthews,matthews,1688
NC,Morrisville,morrisville,1694
NC,Pineville,pineville,1689
NC,Research Triangle,research-triangle,375
NC,Salem,salem,2209
NC,Zebulon,zebulon,1698
NE,Elkhorn,elkhorn,1385
NE,Ralston,ralston,1388
NH,Hooksett,hooksett,2404
NH,Newbury,newbury,1998
NH,Sunapee,sunapee,1996
NH,West Lebanon,west-lebanon,2081
NJ,Andover,andover,1462
NJ,Avenel,avenel,1339
NJ,Bergen,bergen,25
NJ,Blackwood,blackwood,2588
NJ,Bound Brook,bound-brook,1321
NJ,Branchburg,branchburg,1322
NJ,Camden,camden,1406
NJ,Cedar Grove,cedar-grove,2409
NJ,Clark,clark,1341
NJ,Clifton,clifton,2407
NJ,Cranbury,cranbury,1342
NJ,Dayton,dayton,2528
NJ,Denville,denville,1467
NJ,East Windsor,east-windsor,1343
NJ,Emerson,emerson,2307
NJ,Englishtown,englishtown,2540
NJ,Evesham Township,evesham-township,2285
NJ,Fair Lawn,fair-lawn,2304
NJ,Fairfield,fairfield,76
NJ,Fords,fords,2377
NJ,Franklin,franklin,1463
NJ,Green Brook,green-brook,1344
NJ,Hackettstown,hackettstown,1468
NJ,Hasbrook Heights,hasbrook-heights,2311
NJ,Hawthorne,hawthorne,946
NJ,Highland Park,highland-park,1326
NJ,Hillsborough,hillsborough,398
NJ,Holmdel,holmdel,2069
NJ,Jamesburg,jamesburg,1345
NJ,Kearney,kearney,2636
NJ,Kenilworth,kenilworth,1346
NJ,Keyport,keyport,2519
NJ,Lake Hopatcong,lake-hopatcong,1464
NJ,Lakewood,lakewood,2280
NJ,Lawrenceville,lawrenceville,1327
NJ,Linden,linden,1328
NJ,Livingston,livingston,2655
NJ,Lyndhurst,lyndhurst,2312
NJ,Manalapan,manalapan,1329
NJ,Maplewood,maplewood,2488
NJ,Marlboro,marlboro,1347
NJ,Marlton,marlton,1405
NJ,Matawan,matawan,1330
NJ,Maywood,maywood,2303
NJ,Meadowlands,meadowlands,2313
NJ,Metuchen,metuchen,1348
NJ,Middlesex,middlesex,155
NJ,Middletown,middletown,2284
NJ,Millburn,millburn,1331
NJ,Milltown,milltown,2520
NJ,Monroe Township,monroe-township,1349
NJ,Montvale,montvale,2305
NJ,Montville,montville,1469
NJ,Moonachie,moonachie,2315
NJ,Moorestown,moorestown,2625
NJ,Morris Plains,morris-plains,1470
NJ,Mount Olive,mount-olive,1471
NJ,Mountain Lakes,mountain-lakes,1472
NJ,Mountainside,mountainside,1350
NJ,Mt. Laurel,mt-laurel,167
NJ,New Providence,new-providence,1333
NJ,Newton,newton,1465
NJ,North Bergen,north-bergen,2635
NJ,North Brunswick,north-brunswick,1334
NJ,North Jersey,north-jersey,184
NJ,North Plainfield,north-plainfield,1335
NJ,Old Bridge,old-bridge,1336
NJ,Oradell,oradell,2302
NJ,Passaic,passaic,200
NJ,Pine Brook,pine-brook,2392
NJ,Raritan,raritan,1337
NJ,Ridgewood,ridgewood,2422
NJ,River Edge,river-edge,2310
NJ,Rutherford,rutherford,411
NJ,Secaucus,secaucus,2300
NJ,Shrewsbury,shrewsbury,2527
NJ,Somerset,somerset,241
NJ,Somerville,somerville,1338
NJ,South Hackensack,south-hackensack,2306
NJ,South Plainfield,south-plainfield,2541
NJ,Sparta,sparta,1466
NJ,Springfield,springfield,410
NJ,Stanhope,stanhope,2489
NJ,Succasunna,succasunna,1476
NJ,Teaneck,teaneck,2301
NJ,Thorofare,thorofare,2589
NJ,Tinton Falls,tinton-falls,2566
NJ,Toms River,toms-river,2281
NJ,Union,union,2282
NJ,Vernon,vernon,1474
NJ,Verona,verona,2408
NJ,Wall Township,wall-township,2558
NJ,West Essex,west-essex,2386
NJ,West Milford,west-milford,1477
NJ,Woodbridge,woodbridge,281
NJ,Woodcliff Lakes,woodcliff-lakes,2308
NV,Paradise,paradise,2262
NV,Spring Valley,spring-valley,2265
NY,Astoria,astoria,1265
NY,Babylon,babylon,2172
NY,Bay Shore,bay-shore,1244
NY,Bayside,bayside,1266
NY,Beacon,beacon,2466
NY,Brookhaven,brookhaven,2173
NY,Central Islip,central-islip,2469
NY,Cheektowaga,cheektowaga,1774
NY,Chittenango,chittenango,1755
NY,Clifton Park,clifton-park,1758
NY,Colonie,colonie,1757
