state_abbr,market_name,slug,code,matched_existing,lat,lng,county,tier,needs_geocode
KY,Fort Wright,fort-wright,1792,false,,,,,true
KY,Jeffersontown,jeffersontown,2381,false,,,,,true
LA,Harahan,harahan,1979,false,,,,,true
LA,Saint Rose,saint-rose,1982,false,,,,,true
MA,Acton,acton,1367,false,,,,,true
MA,Agawam,agawam,1368,false,,,,,true
MA,Arlington,arlington,1370,false,,,,,true
MA,Ashland,ashland,1371,false,,,,,true
MA,Auburn,auburn,1372,false,,,,,true
MA,Avon,avon,1373,false,,,,,true
MA,Bedford,bedford,1374,false,,,,,true
MA,Bellingham,bellingham,1375,false,,,,,true
MA,Beverly,beverly,1376,false,,,,,true
MA,Billerica,billerica,1377,false,,,,,true
MA,Braintree,braintree,2107,false,,,,,true
MA,Brighton,brighton,1859,false,,,,,true
MA,Dover,dover,2078,false,,,,,true
MA,Fall River,fall-river,1592,false,,,,,true
MA,Franklin,franklin,2464,false,,,,,true
MA,Hanover,hanover,2590,false,,,,,true
MA,Holliston,holliston,2076,false,,,,,true
MA,Hudson,hudson,2460,false,,,,,true
MA,Jamaica Plain,jamaica-plain,2477,false,,,,,true
MA,Lowell,lowell,2323,false,,,,,true
MA,Mansfield,mansfield,2108,false,,,,,true
MA,Natick,natick,442,false,,,,,true
MA,North Andover,north-andover,2613,false,,,,,true
MA,Randolph,randolph,2458,false,,,,,true
MA,Rockland,rockland,2462,false,,,,,true
MA,Roxbury,roxbury,2461,false,,,,,true
MA,Salem,salem,2463,false,,,,,true
MA,Sherborn,sherborn,2075,false,,,,,true
MA,Southborough,southborough,2072,false,,,,,true
MA,Sudbury,sudbury,2077,false,,,,,true
MA,Wayland,wayland,2074,false,,,,,true
MA,Wellesley,wellesley,2070,false,,,,,true
MA,Westborough,westborough,2071,false,,,,,true
MA,Weston,weston,2073,false,,,,,true
MD,Annapolis Junction,annapolis-junction,756,false,,,,,true
MD,Belair,belair,412,false,,,,,true
MD,Beltsville,beltsville,1418,false,,,,,true
MD,Calverton,calverton,1419,false,,,,,true
MD,Cheverly,cheverly,1428,false,,,,,true
MD,Clinton,clinton,1429,false,,,,,true
MD,Cockeysville,cockeysville,2269,false,,,,,true
MD,College Park,college-park,1420,false,,,,,true
MD,Forestville,forestville,1430,false,,,,,true
MD,Greenbelt,greenbelt,1421,false,,,,,true
MD,Hanover,hanover,757,false,,,,,true
MD,Harford,harford,2203,false,,,,,true
MD,Hyattsville,hyattsville,1422,false,,,,,true
MD,Kensington,kensington,1423,false,,,,,true
MD,Landover,landover,1431,false,,,,,true
MD,Lanham,lanham,1432,false,,,,,true
MD,Largo,largo,1433,false,,,,,true
MD,Linthicum,linthicum,131,false,,,,,true
MD,North Bethesda,north-bethesda,1424,false,,,,,true
MD,Owings Mills,owings-mills,759,false,,,,,true
MD,Reistertown,reistertown,2204,false,,,,,true
MD,Riverdale,riverdale,1425,false,,,,,true
MD,Temple Hills,temple-hills,1434,false,,,,,true
MD,Timonium,timonium,413,false,,,,,true
MD,Upper Marlboro,upper-marlboro,1427,false,,,,,true
MD,Wheaton,wheaton,1426,false,,,,,true
MI,Bellaire,bellaire,2437,false,,,,,true
MI,Brownstown Township,brownstown-township,2617,false,,,,,true
MI,Farmington Hills,farmington-hills,1089,false,,,,,true
MI,Garfield Twp,garfield-twp,2436,false,,,,,true
MI,Gross Pointe,gross-pointe,1084,false,,,,,true
MI,Haslett,haslett,1985,false,,,,,true
MI,Kalkaska,kalkaska,2438,false,,,,,true
MI,Kentwood,kentwood,2048,false,,,,,true
MI,Lathrup Village,lathrup-village,2554,false,,,,,true
MI,Manistee,manistee,2572,false,,,,,true
MI,Okemos,okemos,1987,false,,,,,true
MI,Rochester Hills,rochester-hills,1080,false,,,,,true
MI,Southeast Michigan,southeast-michigan,364,false,,,,,true
MI,Southwest Michigan,southwest-michigan,244,false,,,,,true
MN,Apple Valley,apple-valley,1479,false,,,,,true
MN,Arden Hills,arden-hills,1480,false,,,,,true
MN,Blaine,blaine,1481,false,,,,,true
MN,Bloomington,bloomington,315,false,,,,,true
MN,Brooklyn Center,brooklyn-center,1483,false,,,,,true
MN,Brooklyn Park,brooklyn-park,1482,false,,,,,true
MN,Champlin,champlin,1485,false,,,,,true
MN,Chaska,chaska,1486,false,,,,,true
MN,Coon Rapids,coon-rapids,1487,false,,,,,true
MN,Cottage Grove,cottage-grove,1488,false,,,,,true
MN,Crystal,crystal,1489,false,,,,,true
MN,Eagan,eagan,1490,false,,,,,true
MN,Edina,edina,1492,false,,,,,true
MN,Farmington,farmington,1494,false,,,,,true
MN,Fridley,fridley,1495,false,,,,,true
MN,Golden Valley,golden-valley,1496,false,,,,,true
MN,Hastings,hastings,1497,false,,,,,true
MN,Hudson,hudson,1498,false,,,,,true
MN,Little Canada,little-canada,1504,false,,,,,true
MN,Maple Grove,maple-grove,1503,false,,,,,true
MN,Maplewood,maplewood,1502,false,,,,,true
MN,Mendota Heights,mendota-heights,1501,false,,,,,true
MN,Minneapolis CBD,minneapolis-cbd,536,false,,,,,true
MN,Plymouth,plymouth,2273,false,,,,,true
MN,St Cloud,st-cloud,2349,false,,,,,true
MN,St Louis Park,st-louis-park,2267,false,,,,,true
MN,St. Paul,st-paul,537,false,,,,,true
MO,Arnold,arnold,1746,false,,,,,true
MO,Ballwin,ballwin,1735,false,,,,,true
MO,Blue Springs,blue-springs,1803,false,,,,,true
MO,Brentwood,brentwood,1674,false,,,,,true
MO,Bridgeton,bridgeton,2531,false,,,,,true
MO,Clayton,clayton,1675,false,,,,,true
MO,Collinsville,collinsville,2532,false,,,,,true
MO,Creve Coeur,creve-coeur,1676,false,,,,,true
MO,Gladstone,gladstone,1804,false,,,,,true
MO,Glen Carbon,glen-carbon,2537,false,,,,,true
MO,Hazelwood,hazelwood,2535,false,,,,,true
MO,Independence,independence,1805,false,,,,,true
MO,Kirkwood,kirkwood,1678,false,,,,,true
MO,Lee's Summit,lee-s-summit,969,false,,,,,true
MO,Liberty,liberty,1807,false,,,,,true
MO,O'Fallon,o-fallon,1742,false,,,,,true
MO,Olivette,olivette,1679,false,,,,,true
MO,Richmond Heights,richmond-heights,1681,false,,,,,true
MO,St Louis,st-louis,248,false,,,,,true
MO,St. Charles,st-charles,1741,false,,,,,true
MO,Troy,troy,2536,false,,,,,true
MO,Webster Groves,webster-groves,2618,false,,,,,true
MO,Westport,westport,1736,false,,,,,true
MS,Hinds,hinds,736,false,,,,,true
NC,Apex,apex,1692,false,,,,,true
NC,Ballantyne,ballantyne,2675,false,,,,,true
NC,Fuquay Varina,fuquay-varina,2602,false,,,,,true
NC,Garner,garner,1697,false,,,,,true
NC,Gastonia,gastonia,1590,false,,,,,true
NC,Huntersville,huntersville,573,false,,,,,true
NC,Knightdale,knightdale,1693,false,,,,,true
NC,Matthews,matthews,1688,false,,,,,true
NC,Morrisville,morrisville,1694,false,,,,,true
NC,Pineville,pineville,1689,false,,,,,true
NC,Research Triangle,research-triangle,375,false,,,,,true
NC,Salem,salem,2209,false,,,,,true
NC,Zebulon,zebulon,1698,false,,,,,true
NE,Elkhorn,elkhorn,1385,false,,,,,true
NE,Ralston,ralston,1388,false,,,,,true
NH,Hooksett,hooksett,2404,false,,,,,true
NH,Newbury,newbury,1998,false,,,,,true
NH,Sunapee,sunapee,1996,false,,,,,true
NH,West Lebanon,west-lebanon,2081,false,,,,,true
NJ,Andover,andover,1462,false,,,,,true
NJ,Avenel,avenel,1339,false,,,,,true
NJ,Bergen,bergen,25,false,,,,,true
NJ,Blackwood,blackwood,2588,false,,,,,true
NJ,Bound Brook,bound-brook,1321,false,,,,,true
NJ,Branchburg,branchburg,1322,false,,,,,true
NJ,Camden,camden,1406,false,,,,,true
NJ,Cedar Grove,cedar-grove,2409,false,,,,,true
NJ,Clark,clark,1341,false,,,,,true
NJ,Clifton,clifton,2407,false,,,,,true
NJ,Cranbury,cranbury,1342,false,,,,,true
NJ,Dayton,dayton,2528,false,,,,,true
NJ,Denville,denville,1467,false,,,,,true
NJ,East Windsor,east-windsor,1343,false,,,,,true
NJ,Emerson,emerson,2307,false,,,,,true
NJ,Englishtown,englishtown,2540,false,,,,,true
NJ,Evesham Township,evesham-township,2285,false,,,,,true
NJ,Fair Lawn,fair-lawn,2304,false,,,,,true
NJ,Fairfield,fairfield,76,false,,,,,true
NJ,Fords,fords,2377,false,,,,,true
NJ,Franklin,franklin,1463,false,,,,,true
NJ,Green Brook,green-brook,1344,false,,,,,true
NJ,Hackettstown,hackettstown,1468,false,,,,,true
NJ,Hasbrook Heights,hasbrook-heights,2311,false,,,,,true
NJ,Hawthorne,hawthorne,946,false,,,,,true
NJ,Highland Park,highland-park,1326,false,,,,,true
NJ,Hillsborough,hillsborough,398,false,,,,,true
NJ,Holmdel,holmdel,2069,false,,,,,true
NJ,Jamesburg,jamesburg,1345,false,,,,,true
NJ,Kearney,kearney,2636,false,,,,,true
NJ,Kenilworth,kenilworth,1346,false,,,,,true
NJ,Keyport,keyport,2519,false,,,,,true
NJ,Lake Hopatcong,lake-hopatcong,1464,false,,,,,true
NJ,Lakewood,lakewood,2280,false,,,,,true
NJ,Lawrenceville,lawrenceville,1327,false,,,,,true
NJ,Linden,linden,1328,false,,,,,true
NJ,Livingston,livingston,2655,false,,,,,true
NJ,Lyndhurst,lyndhurst,2312,false,,,,,true
NJ,Manalapan,manalapan,1329,false,,,,,true
NJ,Maplewood,maplewood,2488,false,,,,,true
NJ,Marlboro,marlboro,1347,false,,,,,true
NJ,Marlton,marlton,1405,false,,,,,true
NJ,Matawan,matawan,1330,false,,,,,true
NJ,Maywood,maywood,2303,false,,,,,true
NJ,Meadowlands,meadowlands,2313,false,,,,,true
NJ,Metuchen,metuchen,1348,false,,,,,true
NJ,Middlesex,middlesex,155,false,,,,,true
NJ,Middletown,middletown,2284,false,,,,,true
NJ,Millburn,millburn,1331,false,,,,,true
NJ,Milltown,milltown,2520,false,,,,,true
NJ,Monroe Township,monroe-township,1349,false,,,,,true
NJ,Montvale,montvale,2305,false,,,,,true
NJ,Montville,montville,1469,false,,,,,true
NJ,Moonachie,moonachie,2315,false,,,,,true
NJ,Moorestown,moorestown,2625,false,,,,,true
NJ,Morris Plains,morris-plains,1470,false,,,,,true
NJ,Mount Olive,mount-olive,1471,false,,,,,true
NJ,Mountain Lakes,mountain-lakes,1472,false,,,,,true
NJ,Mountainside,mountainside,1350,false,,,,,true
NJ,Mt. Laurel,mt-laurel,167,false,,,,,true
NJ,New Providence,new-providence,1333,false,,,,,true
NJ,Newton,newton,1465,false,,,,,true
NJ,North Bergen,north-bergen,2635,false,,,,,true
NJ,North Brunswick,north-brunswick,1334,false,,,,,true
NJ,North Jersey,north-jersey,184,false,,,,,true
NJ,North Plainfield,north-plainfield,1335,false,,,,,true
NJ,Old Bridge,old-bridge,1336,false,,,,,true
NJ,Oradell,oradell,2302,false,,,,,true
NJ,Passaic,passaic,200,false,,,,,true
NJ,Pine Brook,pine-brook,2392,false,,,,,true
NJ,Raritan,raritan,1337,false,,,,,true
NJ,Ridgewood,ridgewood,2422,false,,,,,true
NJ,River Edge,river-edge,2310,false,,,,,true
NJ,Rutherford,rutherford,411,false,,,,,true
NJ,Secaucus,secaucus,2300,false,,,,,true
NJ,Shrewsbury,shrewsbury,2527,false,,,,,true
NJ,Somerset,somerset,241,false,,,,,true
NJ,Somerville,somerville,1338,false,,,,,true
NJ,South Hackensack,south-hackensack,2306,false,,,,,true
NJ,South Plainfield,south-plainfield,2541,false,,,,,true
NJ,Sparta,sparta,1466,false,,,,,true
NJ,Springfield,springfield,410,false,,,,,true
NJ,Stanhope,stanhope,2489,false,,,,,true
NJ,Succasunna,succasunna,1476,false,,,,,true
NJ,Teaneck,teaneck,2301,false,,,,,true
