code,raw_market,state_abbr,market_name,classification,confidence,reason,parent_city,child_submarket,slug,matched,rofo_city,rofo_slug,rofo_lat,rofo_lng,rofo_path
1000,CO - Glendale,CO,Glendale,city,medium,default_city,,,glendale,false,,,,,
1040,CO - Golden,CO,Golden,city,medium,default_city,,,golden,false,,,,,
1002,CO - Highlands Ranch,CO,Highlands Ranch,city,medium,default_city,,,highlands-ranch,false,,,,,
1034,CO - Interlocken,CO,Interlocken,city,medium,default_city,,,interlocken,false,,,,,
1017,CO - Lafayette,CO,Lafayette,city,medium,default_city,,,lafayette,false,,,,,
1004,CO - Lone Tree,CO,Lone Tree,city,medium,default_city,,,lone-tree,false,,,,,
1016,CO - Louisville,CO,Louisville,city,medium,default_city,,,louisville,false,,,,,
1031,CO - Northglen,CO,Northglen,city,medium,default_city,,,northglen,false,,,,,
1030,CO - Thornton,CO,Thornton,city,medium,default_city,,,thornton,false,,,,,
1378,CT - Ansonia,CT,Ansonia,city,medium,default_city,,,ansonia,false,,,,,
2581,CT - Avon,CT,Avon,city,medium,default_city,,,avon,false,,,,,
1379,CT - Bethel,CT,Bethel,city,medium,default_city,,,bethel,false,,,,,
2574,CT - Bloomfield,CT,Bloomfield,city,medium,default_city,,,bloomfield,false,,,,,
1382,CT - Branford,CT,Branford,city,medium,default_city,,,branford,false,,,,,
2583,CT - Bristol,CT,Bristol,city,medium,default_city,,,bristol,false,,,,,
2054,CT - Cheshire,CT,Cheshire,city,medium,default_city,,,cheshire,false,,,,,
2183,CT - Cromwell,CT,Cromwell,city,medium,default_city,,,cromwell,false,,,,,
2329,CT - East Berlin,CT,East Berlin,city,medium,default_city,,,east-berlin,false,,,,,
2384,CT - Fairfield,CT,Fairfield,city,medium,default_city,,,fairfield,false,,,,,
2580,CT - Glastonbury,CT,Glastonbury,city,medium,default_city,,,glastonbury,false,,,,,
2383,CT - Groton,CT,Groton,city,medium,default_city,,,groton,false,,,,,
2493,CT - Hamden,CT,Hamden,city,medium,default_city,,,hamden,false,,,,,
2575,CT - Longmeadow,CT,Longmeadow,city,medium,default_city,,,longmeadow,false,,,,,
2494,CT - Milford,CT,Milford,city,medium,default_city,,,milford,false,,,,,
2577,CT - New Britain,CT,New Britain,city,medium,default_city,,,new-britain,false,,,,,
2492,CT - New Canaan,CT,New Canaan,city,medium,default_city,,,new-canaan,false,,,,,
173,CT - New London,CT,New London,city,medium,default_city,,,new-london,false,,,,,
2055,CT - Newington,CT,Newington,city,medium,default_city,,,newington,false,,,,,
2579,CT - Old Saybrook,CT,Old Saybrook,city,medium,default_city,,,old-saybrook,false,,,,,
2495,CT - Sandy Hook,CT,Sandy Hook,city,medium,default_city,,,sandy-hook,false,,,,,
2578,CT - Somers,CT,Somers,city,medium,default_city,,,somers,false,,,,,
2582,CT - Springfield,CT,Springfield,city,medium,default_city,,,springfield,false,,,,,
625,CT - Waterbury,CT,Waterbury,city,medium,default_city,,,waterbury,false,,,,,
1443,DC - Capitol Riverfront,DC,Capitol Riverfront,city,medium,default_city,,,capitol-riverfront,false,,,,,
1442,DC - Georgetown,DC,Georgetown,city,medium,default_city,,,georgetown,false,,,,,
1445,DC - Northeast,DC,Northeast,city,medium,default_city,,,northeast,false,,,,,
1446,DC - Northwest,DC,Northwest,city,medium,default_city,,,northwest,false,,,,,
1449,DC - Southeast,DC,Southeast,city,medium,default_city,,,southeast,false,,,,,
1444,DC - West End,DC,West End,city,medium,default_city,,,west-end,false,,,,,
1458,DE - Greenville,DE,Greenville,city,medium,default_city,,,greenville,false,,,,,
1461,DE - Montchanin,DE,Montchanin,city,medium,default_city,,,montchanin,false,,,,,
1460,DE - Newport,DE,Newport,city,medium,default_city,,,newport,false,,,,,
18,FL - Aventura,FL,Aventura,city,medium,default_city,,,aventura,false,,,,,
2450,FL - Bluffton,FL,Bluffton,city,medium,default_city,,,bluffton,false,,,,,
2534,FL - Boynton Beach,FL,Boynton Beach,city,medium,default_city,,,boynton-beach,false,,,,,
1662,FL - Casselberry,FL,Casselberry,city,medium,default_city,,,casselberry,false,,,,,
776,FL - Celebration,FL,Celebration,city,medium,default_city,,,celebration,false,,,,,
2491,FL - Coconut Creek,FL,Coconut Creek,city,medium,default_city,,,coconut-creek,false,,,,,
1596,FL - Cooper City,FL,Cooper City,city,medium,default_city,,,cooper-city,false,,,,,
1976,FL - Cypress Creek,FL,Cypress Creek,city,medium,default_city,,,cypress-creek,false,,,,,
1605,FL - Dania Beach,FL,Dania Beach,city,medium,default_city,,,dania-beach,false,,,,,
1597,FL - Davie,FL,Davie,city,medium,default_city,,,davie,false,,,,,
959,FL - Daytona,FL,Daytona,city,medium,default_city,,,daytona,false,,,,,
1151,FL - Doral,FL,Doral,city,medium,default_city,,,doral,false,,,,,
2263,FL - East Lake Orient Park,FL,East Lake Orient Park,city,medium,default_city,,,east-lake-orient-park,false,,,,,
2451,FL - Ft. Lauderdale,FL,Ft. Lauderdale,city,medium,default_city,,,ft-lauderdale,false,,,,,
1606,FL - Hallandale,FL,Hallandale,city,medium,default_city,,,hallandale,false,,,,,
576,FL - Kendall,FL,Kendall,city,medium,default_city,,,kendall,false,,,,,
1601,FL - Lauderdale Lakes,FL,Lauderdale Lakes,city,medium,default_city,,,lauderdale-lakes,false,,,,,
1602,FL - Lauderhill,FL,Lauderhill,city,medium,default_city,,,lauderhill,false,,,,,
1600,FL - Lighthouse Point,FL,Lighthouse Point,city,medium,default_city,,,lighthouse-point,false,,,,,
1670,FL - Longwood,FL,Longwood,city,medium,default_city,,,longwood,false,,,,,
2627,FL - Mango,FL,Mango,city,medium,default_city,,,mango,false,,,,,
1599,FL - Margate,FL,Margate,city,medium,default_city,,,margate,false,,,,,
1607,FL - Miami Gardens,FL,Miami Gardens,city,medium,default_city,,,miami-gardens,false,,,,,
2619,FL - Neptune,FL,Neptune,city,medium,default_city,,,neptune,false,,,,,
1604,FL - Oakland Park,FL,Oakland Park,city,medium,default_city,,,oakland-park,false,,,,,
1669,FL - Ocoee,FL,Ocoee,city,medium,default_city,,,ocoee,false,,,,,
1665,FL - Oviedo,FL,Oviedo,city,medium,default_city,,,oviedo,false,,,,,
2159,FL - Palm Beach,FL,Palm Beach,city,medium,default_city,,,palm-beach,false,,,,,
201,FL - Pembroke Pines,FL,Pembroke Pines,city,medium,default_city,,,pembroke-pines,false,,,,,
1570,FL - Pinellas Park,FL,Pinellas Park,city,medium,default_city,,,pinellas-park,false,,,,,
2620,FL - Ponte Vedra,FL,Ponte Vedra,city,medium,default_city,,,ponte-vedra,false,,,,,
2551,FL - Safety Harbor,FL,Safety Harbor,city,medium,default_city,,,safety-harbor,false,,,,,
1572,FL - Saint Pete Beach,FL,Saint Pete Beach,city,medium,default_city,,,saint-pete-beach,false,,,,,
2333,FL - Sandestin,FL,Sandestin,city,medium,default_city,,,sandestin,false,,,,,
1573,FL - Seminole,FL,Seminole,city,medium,default_city,,,seminole,false,,,,,
2681,FL - St Lucie,FL,St Lucie,city,medium,default_city,,,st-lucie,false,,,,,
250,FL - St Petersburg,FL,St Petersburg,city,medium,default_city,,,st-petersburg,false,,,,,
2690,FL - St Petersburg CBD,FL,St Petersburg CBD,city,medium,default_city,,,st-petersburg-cbd,false,,,,,
2414,FL - Sunny Isles Beach,FL,Sunny Isles Beach,city,medium,default_city,,,sunny-isles-beach,false,,,,,
1603,FL - Tamarac,FL,Tamarac,city,medium,default_city,,,tamarac,false,,,,,
1576,FL - Temple Terrace,FL,Temple Terrace,city,medium,default_city,,,temple-terrace,false,,,,,
2266,FL - Town n Country,FL,Town n Country,city,medium,default_city,,,town-n-country,false,,,,,
1575,FL - Trinity,FL,Trinity,city,medium,default_city,,,trinity,false,,,,,
2628,FL - Valrico,FL,Valrico,city,medium,default_city,,,valrico,false,,,,,
1663,FL - Winter Springs,FL,Winter Springs,city,medium,default_city,,,winter-springs,false,,,,,
1352,GA - Adairsville,GA,Adairsville,city,medium,default_city,,,adairsville,false,,,,,
602,GA - Atlanta Airport-South,GA,Atlanta Airport-South,submarket,high,city_submarket_pattern,Atlanta Airport,South,atlanta-airport-south,false,,,,,
2316,GA - College Park,GA,College Park,city,medium,default_city,,,college-park,false,,,,,
2196,GA - Doraville,GA,Doraville,city,medium,default_city,,,doraville,false,,,,,
500,GA - Dunwoody,GA,Dunwoody,city,medium,default_city,,,dunwoody,false,,,,,
2335,GA - Johns Creek,GA,Johns Creek,city,medium,default_city,,,johns-creek,false,,,,,
1992,GA - Northlake,GA,Northlake,city,medium,default_city,,,northlake,false,,,,,
2556,GA - Peachtree City,GA,Peachtree City,city,medium,default_city,,,peachtree-city,false,,,,,
2264,GA - Sandy Springs,GA,Sandy Springs,city,medium,default_city,,,sandy-springs,false,,,,,
2195,GA - Sugar Hill,GA,Sugar Hill,city,medium,default_city,,,sugar-hill,false,,,,,
2555,GA - Tyrone,GA,Tyrone,city,medium,default_city,,,tyrone,false,,,,,
